country,iso2c,iso3c,year,NV.IND.MANF.ZS
Brazil,BR,BRA,2024,12.1108065155746
Brazil,BR,BRA,2023,13.2531636221996
Brazil,BR,BRA,2022,13.0740816278135
Brazil,BR,BRA,2021,11.9043730116912
Brazil,BR,BRA,2020,10.692931568083
Brazil,BR,BRA,2019,10.3325005326579
Brazil,BR,BRA,2018,10.5284573774955
Brazil,BR,BRA,2017,10.7214980097615
Brazil,BR,BRA,2016,10.7864511151848
Brazil,BR,BRA,2015,10.5209374563041
Brazil,BR,BRA,2014,10.3370973961119
Brazil,BR,BRA,2013,10.4796122903932
Brazil,BR,BRA,2012,10.6759423067884
Brazil,BR,BRA,2011,11.783797669281
Brazil,BR,BRA,2010,12.7218596106307
Brazil,BR,BRA,2009,13.059462149411
Brazil,BR,BRA,2008,13.9551768982477
Brazil,BR,BRA,2007,14.1542648072939
Brazil,BR,BRA,2006,14.108945872191
Brazil,BR,BRA,2005,14.7382811395678
Brazil,BR,BRA,2004,15.0995301563872
Brazil,BR,BRA,2003,14.4507645630532
Brazil,BR,BRA,2002,12.3569626673734
Brazil,BR,BRA,2001,13.0895379354002
Brazil,BR,BRA,2000,13.134659593552101
Brazil,BR,BRA,1999,12.3085333305115
Brazil,BR,BRA,1998,12.1551371940101
Brazil,BR,BRA,1997,13.0186253732125
Brazil,BR,BRA,1996,13.0671912367218
Brazil,BR,BRA,1995,14.5422791502638
Brazil,BR,BRA,1994,23.7212337008806
Brazil,BR,BRA,1993,26.0497364772714
Brazil,BR,BRA,1992,23.3085964339674
Brazil,BR,BRA,1991,21.839067113426
Brazil,BR,BRA,1990,22.8281314523658
Brazil,BR,BRA,1989,29.2608957285905
Brazil,BR,BRA,1988,29.9772291651391
Brazil,BR,BRA,1987,29.892473267253
Brazil,BR,BRA,1986,30.6983539256546
Brazil,BR,BRA,1985,32.3846425995985
Brazil,BR,BRA,1984,33.9910185811989
Brazil,BR,BRA,1983,32.682327574828
Brazil,BR,BRA,1982,33.8943234157422
Brazil,BR,BRA,1981,34.3524018449148
Brazil,BR,BRA,1980,21.9862700141455
Brazil,BR,BRA,1979,46.1313726538209
Brazil,BR,BRA,1978,0
Brazil,BR,BRA,1977,0
Brazil,BR,BRA,1976,0
Brazil,BR,BRA,1975,0
Brazil,BR,BRA,1974,0
Brazil,BR,BRA,1973,0
Brazil,BR,BRA,1972,0
Brazil,BR,BRA,1971,0
Brazil,BR,BRA,1970,0
Brazil,BR,BRA,1969,0
Brazil,BR,BRA,1968,0
Brazil,BR,BRA,1967,0
Brazil,BR,BRA,1966,0
Brazil,BR,BRA,1965,0
Brazil,BR,BRA,1964,0
Brazil,BR,BRA,1963,0
Brazil,BR,BRA,1962,0
Brazil,BR,BRA,1961,0
Brazil,BR,BRA,1960,0
"Korea, Rep.",KR,KOR,2024,26.6179725157922
"Korea, Rep.",KR,KOR,2023,25.4551420827792
"Korea, Rep.",KR,KOR,2022,26.4977408590265
"Korea, Rep.",KR,KOR,2021,26.2480856022754
"Korea, Rep.",KR,KOR,2020,25.7002433607737
"Korea, Rep.",KR,KOR,2019,26.370175590513
"Korea, Rep.",KR,KOR,2018,27.7672237489814
"Korea, Rep.",KR,KOR,2017,28.0322405682167
"Korea, Rep.",KR,KOR,2016,27.5129940831191
"Korea, Rep.",KR,KOR,2015,27.8215922094514
"Korea, Rep.",KR,KOR,2014,28.2760755546832
"Korea, Rep.",KR,KOR,2013,28.8654766941182
"Korea, Rep.",KR,KOR,2012,28.7408682052811
"Korea, Rep.",KR,KOR,2011,29.0005575131874
"Korea, Rep.",KR,KOR,2010,28.0990056835275
"Korea, Rep.",KR,KOR,2009,26.3042343079035
"Korea, Rep.",KR,KOR,2008,26.0793572324032
"Korea, Rep.",KR,KOR,2007,25.9241510203287
"Korea, Rep.",KR,KOR,2006,25.7222784544775
"Korea, Rep.",KR,KOR,2005,26.0918099370413
"Korea, Rep.",KR,KOR,2004,26.4144323811178
"Korea, Rep.",KR,KOR,2003,24.4315182881075
"Korea, Rep.",KR,KOR,2002,24.7767716060025
"Korea, Rep.",KR,KOR,2001,25.1376270244517
"Korea, Rep.",KR,KOR,2000,26.591050957139
"Korea, Rep.",KR,KOR,1999,25.7907711248957
"Korea, Rep.",KR,KOR,1998,25.772427476293
"Korea, Rep.",KR,KOR,1997,25.1340048742021
"Korea, Rep.",KR,KOR,1996,25.2213607621112
"Korea, Rep.",KR,KOR,1995,26.3109230670225
"Korea, Rep.",KR,KOR,1994,25.7348766196896
"Korea, Rep.",KR,KOR,1993,25.0187472477935
"Korea, Rep.",KR,KOR,1992,24.788208523049
"Korea, Rep.",KR,KOR,1991,25.4982599556978
"Korea, Rep.",KR,KOR,1990,25.2385195677477
"Korea, Rep.",KR,KOR,1989,26.7471899449588
"Korea, Rep.",KR,KOR,1988,27.7209692861558
"Korea, Rep.",KR,KOR,1987,26.8005557862459
"Korea, Rep.",KR,KOR,1986,25.5458203499946
"Korea, Rep.",KR,KOR,1985,24.3252434174818
"Korea, Rep.",KR,KOR,1984,24.6062605260474
"Korea, Rep.",KR,KOR,1983,22.9682049954332
"Korea, Rep.",KR,KOR,1982,21.8115257439773
"Korea, Rep.",KR,KOR,1981,21.7683498116296
"Korea, Rep.",KR,KOR,1980,21.8967231850859
"Korea, Rep.",KR,KOR,1979,21.5363886309426
"Korea, Rep.",KR,KOR,1978,21.0296786507713
"Korea, Rep.",KR,KOR,1977,20.9327663535584
"Korea, Rep.",KR,KOR,1976,21.2862935045852
"Korea, Rep.",KR,KOR,1975,19.9654496218134
"Korea, Rep.",KR,KOR,1974,20.649305382662
"Korea, Rep.",KR,KOR,1973,21.2959988578363
"Korea, Rep.",KR,KOR,1972,18.5822468215187
"Korea, Rep.",KR,KOR,1971,16.5548613710304
"Korea, Rep.",KR,KOR,1970,17.2892890054583
"Korea, Rep.",KR,KOR,1969,17.0244230338337
"Korea, Rep.",KR,KOR,1968,17.1150577340132
"Korea, Rep.",KR,KOR,1967,16.7572874188189
"Korea, Rep.",KR,KOR,1966,16.6433826953525
"Korea, Rep.",KR,KOR,1965,17.0530592734226
"Korea, Rep.",KR,KOR,1964,14.2165433759247
"Korea, Rep.",KR,KOR,1963,12.8214971209213
"Korea, Rep.",KR,KOR,1962,11.7006802721088
"Korea, Rep.",KR,KOR,1961,11.9511389897656
"Korea, Rep.",KR,KOR,1960,11.4035087719298
