"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"World","Biomass","Domestic Material Consumption","DMC","t","12745456971","12986006036","12930748678","13548449655","13669929481","13846964276","14282731508","14406084716","14844762968","14769064728","14753548784","15170040729","15621889082","15565404481","16158435469","16293259983","16463144307","16567806216","16565615489","17125818056","17437848293","17320089821","17498284364","17318479168","17586636894","17758013481","18328595607","18404101587","18465861685","18721978373","18814965129","18982643483","19148674497","19514995902","20231132963","20371605005","20675037660","21291283915","22046211978","21762005238","22225609073","23106994716","23225997678","24098239407","24419596955","24576990918","24959725393","25518403903","25673348875","25938787196","25923605240","26308861152","26644021046","26887567399","27244466854"
"World","Excavated earthen materials (including soil) nec","Domestic Material Consumption","DMC","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"World","Fossil fuels","Domestic Material Consumption","DMC","t","5472491965","5593045317","5793232975","6316129528","6337411471","6511136416","6760281809","7062211166","7232633781","7569830882","7561454948","7544762763","7625675162","7727450980","8009743034","8202970722","8445636799","8674998652","8945154280","9172703887","9105678745","9097891977","9004451891","9018082701","9197639559","9411957966","9676235691","9747371320","9756265887","9751670627","10081093138","10390650764","10562616088","11078270601","11644578842","12004587076","12541773851","13014305378","13299264872","13432789515","13998093248","14729282226","14986874595","15017598938","15124284829","15082746928","14621654471","15203281636","15620307974","15921512571","15311495722","15887733047","15988498022","16083445059","16201950281"
"World","Metal ores","Domestic Material Consumption","DMC","t","2631485056","2648488293","2768375174","2903023092","2878201732","2773123251","2856953463","2785720555","2755798021","2833617476","2877849521","2881612358","2852923320","2862445028","3104337642","3248435109","3352442046","3559152404","3729153219","3877738510","3964825101","3915233581","4028728629","4029558757","4111739930","4238306165","4335856763","4565231290","4714652050","4775574842","5008187546","5056697080","5061759164","5287303340","5590328962","5895713942","6320586101","6682934202","6879008130","7001532387","7520779745","8164563567","8407592629","8879204828","9286022394","9318770377","9515712844","9703288951","9425204415","9598801320","9418207471","9845918692","10094074826","10350997389","10654247237"
"World","Mixed and complex products nec.","Domestic Material Consumption","DMC","t","-511799","-190249","-158558","-151793","-627408","-133716","-324009","-1612773","41187","-147243","-5931739","-4258548","-3558554","-4726904","-4521020","3586964","5038362","4639758","827151","-1320861","12501780","23874387","-2981425","17001566","-2609773","-15284863","26096082","28292488","30896713","56687765","6848138","-42031373","-40358139","-67562038","-179134720","-346369647","-7949114","-54247330","-27981512","-22473257","-49398530","-70770255","-70631135","-6136047","4777792","-204733664","-158217499","-271147742","-318886533","-454188588","-468982449","-462353863","-449505835","-439957644","-432623653"
"World","Non-metallic minerals","Domestic Material Consumption","DMC","t","9585529075","10185905548","10610337945","11390512452","11345751418","10950830714","11450517157","12005156256","12946383708","13098726153","12976481783","12600907291","12376166389","13011955803","13533124156","14234673989","15001561291","15962708747","16885918396","16901320652","16996745575","16837298152","18224232013","19170461728","20119331452","20934448491","21276712917","21943975000","22580916852","23430325562","24111903022","24392713756","25290398640","26583214197","28372640991","29928334596","31828783571","33252360200","33109685051","33568737152","36196587821","39119471797","41225791527","42838063650","43490389951","43169747886","44055361928","43541458878","44236841152","45285570344","45648675534","47820198318","49303026078","50981444074","52938544812"
"World","Products from biomass","Domestic Material Consumption","DMC","t","198079","-90996","-1132093","-1347794","-1892727","-1334302","-1397680","-2326005","-2660160","-3052220","-4478949","-3351931","-2590615","-2385672","-2617582","-1045979","-1202155","-601387","-1830521","-2620095","1578640","1168291","4003688","-3656934","-3427685","-6499925","-5880228","-7781004","-12223510","-6218900","-3582928","-6527685","-4550549","175648","-8863531","-11388432","-5717143","-8574900","-13931848","-16123256","-16020800","-14879452","-16177577","-20293546","-20899609","-17090026","-17222071","-9670862","-13161072","-9547352","-13555753","-14297116","-12065172","-10803528","-9905495"
"World","Products from fossil fuels","Domestic Material Consumption","DMC","t","-11212378","-15230644","-11120964","16293527","11168819","9336507","-9299538","9649912","-3315757","-6041779","-38637544","-54428501","-68440923","-84275279","-88462672","-93409558","-96238836","-99014903","-93041655","-97240856","-116992348","-75361287","-67363408","-65993233","-76071062","-73494662","-71393758","-84175217","-66403761","-56566792","-60575245","-65512378","-83911281","-68694758","-48764225","-70412144","-49414753","-53487376","-52819895","-86208599","-56094704","-78004786","-65188958","-73388727","-96073714","-92660089","-77320179","-89913942","-100132072","-85630601","-80735770","-49706361","-51043644","-51606249","-53012308"
"World","Products from metals","Domestic Material Consumption","DMC","t","-2407680","-765102","-2700407","-4462402","-4283237","-3407202","-7481212","-5054734","-3355638","-3201443","-4280561","-10783230","-8375795","-4476214","-11073815","-9102770","-6493670","-3581708","-5102809","2120662","-8509002","-19557984","-16819468","-19507595","-20339730","-22246988","-1244985","-5839714","-10456839","-9274717","-9349760","-16502726","-15217404","-14648618","-14516030","-28142592","-19687913","-26155125","-23406932","3185598","-5349942","-46373282","-14673885","10305487","-10715039","-9859308","-5803067","-19352203","-121810","-28634861","-31828593","-30291111","-28768969","-27996246","-27123860"
"World","Products from non-metallic minerals","Domestic Material Consumption","DMC","t","-610586","339317","-2854504","2257491","2325574","-4249701","-2341577","187461","5060030","11440934","696298","-3764280","-9275937","3819471","924832","13514192","17853939","17533615","24140669","18747373","13864927","14389805","-4922037","-19504377","-15679995","-4607586","-14188318","-3013788","-3914194","-13531675","-40871444","-33930739","-29206406","-20342952","-43000368","-53794459","-21770073","4505706","1340229","-32340095","-37469629","-29406127","-14495851","-48162598","-64580517","-7969156","-17010452","-2416126","-2444369","828843","2713236","16949983","28709160","41191257","55196837"
