country,iso2c,iso3c,year,gdp_wdi
World,1W,WLD,2024,96492690817960.5
World,1W,WLD,2023,93798835497645.3
World,1W,WLD,2022,91112302917180.8
World,1W,WLD,2021,88113743893150
World,1W,WLD,2020,82803280050477.7
World,1W,WLD,2019,85275610244218.1
World,1W,WLD,2018,83050587362222.7
World,1W,WLD,2017,80417743987091.4
World,1W,WLD,2016,77734481755129.3
World,1W,WLD,2015,75621913961646.1
World,1W,WLD,2014,73338313563659
World,1W,WLD,2013,71110411922590.2
World,1W,WLD,2012,69114292959206.7
World,1W,WLD,2011,67276821813552.3
World,1W,WLD,2010,65103029475797.8
World,1W,WLD,2009,62285101784074.8
World,1W,WLD,2008,63117398807667
World,1W,WLD,2007,61823800945165.4
World,1W,WLD,2006,59210348113404.5
World,1W,WLD,2005,56673544164731.9
World,1W,WLD,2004,54465231584489.7
World,1W,WLD,2003,52118918453371.3
World,1W,WLD,2002,50554835407744.4
World,1W,WLD,2001,49412868939567.6
World,1W,WLD,2000,48425685628052.2
World,1W,WLD,1999,46315964796815.2
World,1W,WLD,1998,44715003412067.1
World,1W,WLD,1997,43483502334138.3
World,1W,WLD,1996,41824891712125
World,1W,WLD,1995,40374390922535.4
World,1W,WLD,1994,39135896985992
World,1W,WLD,1993,37851113313325.5
World,1W,WLD,1992,37149005453487.7
World,1W,WLD,1991,36390873910981.3
World,1W,WLD,1990,35945880219087.1
World,1W,WLD,1989,34987083262295.4
World,1W,WLD,1988,33749475204331.7
World,1W,WLD,1987,32288267462665.7
World,1W,WLD,1986,31131252465707.9
World,1W,WLD,1985,30139921354136.6
World,1W,WLD,1984,29071910671778.6
World,1W,WLD,1983,27767125612772.9
World,1W,WLD,1982,27073129841472.5
World,1W,WLD,1981,26973515731398.9
World,1W,WLD,1980,26469217870859.4
World,1W,WLD,1979,25985800822182.1
World,1W,WLD,1978,24957636428863.8
World,1W,WLD,1977,23971895619591.4
World,1W,WLD,1976,23048102619576.6
World,1W,WLD,1975,21912746689404.7
World,1W,WLD,1974,21774826198385.9
World,1W,WLD,1973,21354308835191.8
World,1W,WLD,1972,20063385628672.2
World,1W,WLD,1971,19009089222623.9
World,1W,WLD,1970,18248797928662.8
