country,iso2c,iso3c,year,GDPpc,Life,Gini,CO2pc
Brazil,BR,BRA,2015,14821.4383174534,75.106,51.9,2.56818858918394
Brazil,BR,BRA,2016,14309.2061489274,75.081,53.4,2.37533549789759
Brazil,BR,BRA,2017,14559.0488897004,75.383,53.3,2.41694955353585
Brazil,BR,BRA,2018,15463.7426393889,75.633,53.9,2.28562350357953
Brazil,BR,BRA,2019,16069.8380152627,75.809,53.5,2.25869881785082
Brazil,BR,BRA,2020,16101.6183063466,74.506,48.8,2.1466461829
Brazil,BR,BRA,2021,18075.7060049068,73.038,52.9,2.41580858865319
Brazil,BR,BRA,2022,19873.7032623309,74.872,51.9,2.27889577215227
Brazil,BR,BRA,2023,21193.0721417478,75.848,51.5,2.27447826989363
Costa Rica,CR,CRI,2015,17525.1404835991,80.407,48.4,1.61015749564449
Costa Rica,CR,CRI,2016,19201.7453161516,79.988,48.7,1.69149442839303
Costa Rica,CR,CRI,2017,20499.3442145104,79.994,48.3,1.70887391193112
Costa Rica,CR,CRI,2018,21548.8700973441,80.09,48,1.70246265595066
Costa Rica,CR,CRI,2019,23461.2875330597,80.296,48.2,1.63874650393745
Costa Rica,CR,CRI,2020,22245.432879344098,79.725,49.2,1.42529676301864
Costa Rica,CR,CRI,2021,24083.5988182437,78.05,48.7,1.59152551349924
Costa Rica,CR,CRI,2022,26891.9730070246,79.316,47.2,1.61315999460817
Costa Rica,CR,CRI,2023,29247.8937202355,80.799,46.7,1.58608566210135
Ethiopia,ET,ETH,2015,1632.61818006837,63.592,35,0.130068091316854
Ethiopia,ET,ETH,2016,1857.54946515224,64.162,NA,0.15021997848876
Ethiopia,ET,ETH,2017,2004.74755633129,64.766,NA,0.144744318001779
Ethiopia,ET,ETH,2018,2095.3175782979,65.257,NA,0.155059082147088
Ethiopia,ET,ETH,2019,2242.44488312932,65.741,NA,0.159693432847017
Ethiopia,ET,ETH,2020,2406.78938480121,65.969,NA,0.151498089800296
